atleta_id,ult5_sos,playmaking,risco_rotacao,goalShare,ds_jogo,epts_scouts
100084,3.695,0.143,0.0,0.0357,0.286,2.517
100342,3.471,,0.0,,2.25,3.65
100652,10.237,,0.0,0.12,0.471,3.689
100742,3.933,0.056,0.0,0.0,1.167,3.161
100842,8.338,,0.0,,1.3,3.525
100898,6.356,,0.0,,2.471,5.098
100987,1.106,0.111,0.2,0.0278,1.0,2.888
101254,4.316,,0.0,0.1923,0.833,4.226
101314,5.073,,0.0,0.0333,0.632,3.512
101393,4.722,,0.0,,1.263,3.283
101405,1.523,0.0,0.2,0.0,1.769,3.367
101574,3.774,,0.0,,0.05,3.836
101597,3.843,,0.0,,1.353,4.595
101727,10.585,,0.0,,2.389,5.518
101908,5.862,,0.0,,1.562,3.612
101960,4.656,,0.0,0.0476,1.435,4.55
102130,6.012,,0.0,,1.364,4.705
102256,1.988,0.083,0.0,0.1034,0.333,2.808
102911,5.152,0.048,0.0,0.0,1.619,3.594
102928,3.931,,0.0,0.1111,1.75,5.266
103056,3.603,,0.0,,0.0,3.268
103445,5.2,,0.2,0.2143,0.235,4.143
103767,5.482,0.0,0.0,0.0345,2.111,4.513
104027,4.523,,0.0,,0.0,
104075,3.174,,0.0,,1.471,3.597
104084,3.151,,0.0,,0.0,4.448
104134,3.995,,0.4,0.0,0.667,3.597
104257,3.279,,0.0,,1.833,4.608
104330,7.451,0.0,0.0,0.0476,0.0,2.884
104470,3.381,,0.4,,0.733,3.915
104519,3.358,0.0,0.0,0.0,2.105,3.64
104693,1.387,0.0,0.2,0.0,1.25,3.115
104758,2.832,,0.0,,2.154,4.83
104783,5.563,0.0,0.0,0.0333,2.714,4.68
104811,3.59,0.0,0.0,0.0,1.4,3.244
104994,4.894,,0.4,,1.625,3.636
105047,2.361,,0.2,,0.857,3.233
105068,2.959,0.067,0.2,0.0714,0.467,2.785
105089,4.609,,0.0,0.1,0.824,4.058
105157,1.796,0.0,0.0,0.0,1.176,2.933
105175,2.405,,0.0,,1.267,4.15
105213,4.859,,0.0,,1.0,4.437
105214,4.903,0.0,0.0,0.0606,1.0,3.226
105436,9.131,0.25,0.0,0.0714,1.438,4.452
105531,6.677,,0.0,,2.176,6.177
105563,6.607,,0.2,0.45,0.3,4.202
105584,3.673,,0.2,,1.077,3.941
105647,7.446,0.05,0.0,0.1395,0.55,3.36
105903,2.554,0.067,0.0,0.0,1.2,2.892
105949,2.582,,0.0,,0.273,3.693
105990,6.098,,0.0,,0.579,3.287
106104,2.681,,0.2,0.0,1.312,4.273
106202,3.475,0.0,0.0,0.0,1.875,3.968
106294,2.605,0.143,0.0,0.0,1.143,3.298
106708,7.583,,0.0,,2.412,5.168
106822,5.574,0.133,0.0,0.0,1.2,3.58
107093,7.497,,0.2,,1.263,5.377
107173,2.073,0.071,0.0,0.0,0.571,2.411
