apelido,apelido_norm,team,pos,preco,media,valor_tm_milhoes,nome_tm_matched,match_tipo
Breno Lopes,breno lopes,Coritiba,ATA,9.47,6.18,,,sem_match
Patrick,patrick,Remo,MEI,5.99,3.54,0.6,Patrick,exato
Gerson,gerson,Cruzeiro,MEI,8.98,4.21,18.0,Gerson,exato
Igor Formiga,igor formiga,Mirassol,LAT,7.89,4.52,,,sem_match
Marllon,marllon,Remo,ZAG,6.15,3.08,,,sem_match
Léo Andrade,leo andrade,Remo,ZAG,4.79,2.95,,,sem_match
Gabriel Paulista,gabriel paulista,Corinthians,ZAG,9.3,4.76,,,sem_match
Preciado,preciado,Atletico-MG,LAT,7.2,4.0,,,sem_match
Victor Hugo,victor hugo,Atletico-MG,MEI,6.6,3.8,7.0,Victor Hugo,exato
Villagra,villagra,Internacional,MEI,5.18,2.08,,,sem_match
Gabriel,gabriel,Vitoria,GOL,5.02,0.9,0.45,Gabriel,exato
Tetê,tete,Gremio,ATA,9.01,3.83,,,sem_match
Rafael Monti,rafael monti,Remo,ATA,3.56,0.0,,,sem_match
Milans,milans,Corinthians,LAT,8.96,6.03,,,sem_match
Luiz Gustavo,luiz gustavo,Athletico-PR,MEI,6.78,3.75,0.2,Luiz Gustavo,exato
Emmanuel Martínez,emmanuel martinez,Vitoria,MEI,6.16,3.48,,,sem_match
Cassierra,cassierra,Atletico-MG,ATA,5.4,2.08,,,sem_match
José Welison,jose welison,Remo,MEI,4.43,2.47,,,sem_match
Gustavo,gustavo,Coritiba,MEI,3.3,0.9,,,sem_match
Gilberto Junior,gilberto junior,Athletico-PR,LAT,6.76,5.54,2.0,Gilberto Junior,exato
Dell,dell,Bahia,ATA,1.82,0.65,4.0,Dell,exato
Everton Galdino,everton galdino,Mirassol,ATA,2.73,1.2,,,sem_match
Picco,picco,Remo,MEI,6.03,3.28,,tico,aproximado_fuzzy
Cufré,cufre,Remo,LAT,3.45,-0.3,,,sem_match
Matheus Pereira,matheus pereira,Corinthians,MEI,3.46,1.12,,,sem_match
Vitor Bueno,vitor bueno,Remo,MEI,7.26,4.01,,,sem_match
Edu,edu,Vitoria,ZAG,4.13,1.5,0.8,Edu Ribeiro,aproximado_contains
Marinho,marinho,Vitoria,ATA,4.73,1.75,3.0,matheuzinho,aproximado_fuzzy
Marino Hinestroza,marino hinestroza,Vasco,ATA,5.76,1.93,,,sem_match
Arthur,arthur,Palmeiras,LAT,4.99,4.44,3.0,Arthur Gabriel,aproximado_contains
Tiaguinho,tiaguinho,Gremio,MEI,0.93,0.0,0.5,Tiaguinho,exato
Luis Pacheco,luis pacheco,Palmeiras,MEI,1.98,0.0,,,sem_match
Brenner,brenner,Vasco,ATA,7.07,2.98,,,sem_match
Cissé,cisse,Atletico-MG,MEI,2.14,1.91,,,sem_match
Riquelme Fillipi,riquelme fillipi,Palmeiras,ATA,2.04,2.2,,,sem_match
Fabri,fabri,Vitoria,ATA,5.27,2.66,0.9,Fabri,exato
Walter,walter,Mirassol,GOL,5.18,2.89,0.15,Walter,exato
Riquelme,riquelme,Athletico-PR,MEI,0.91,0.58,,,sem_match
Fabinho,fabinho,Coritiba,ATA,1.43,-0.03,,,sem_match
Zé Breno,ze breno,Vitoria,MEI,2.04,0.6,,,sem_match
Allex,allex,Internacional,MEI,2.38,1.55,1.0,Allex,exato
Kauan Toledo,kauan toledo,Botafogo,ATA,1.95,1.77,,,sem_match
JP,jp,Vasco,MEI,1.41,0.95,2.0,Jptm,aproximado_contains
Fernando Pradella,fernando pradella,Santos,ATA,0.82,0.0,,,sem_match
Pedro Ferreira,pedro ferreira,Sao Paulo,MEI,1.51,1.2,,Pedro Ferreira,exato
Kaio César,kaio cesar,Corinthians,ATA,10.33,5.43,,,sem_match
Andrey Fernandes,andrey fernandes,Vasco,ATA,1.41,1.7,,,sem_match
João Vitor,joao vitor,Vasco,ATA,3.49,3.13,,,sem_match
Chico da Costa,chico da costa,Cruzeiro,ATA,3.81,1.24,,,sem_match
Garcez,garcez,Chapecoense,ATA,3.12,1.22,,,sem_match
Herrera,herrera,Bragantino,ATA,4.31,2.17,,,sem_match
