atleta_id,nome,clube,posicao,rodada,pontos,scout_A,scout_CA,scout_CV,scout_DE,scout_DP,scout_DS,scout_FC,scout_FD,scout_FF,scout_FS,scout_FT,scout_G,scout_GC,scout_GS,scout_I,scout_PC,scout_PP,scout_PS,scout_SG,scout_V
100084,Igor Gomes,CAM,MEI,1,0,,,,,,,,,,,,,,,,,,,,
100342,Léo Andrade,REM,ZAG,1,3.2,,1,,,,3,1,,,,,,,,,,,,,
100652,Yuri Alberto,COR,ATA,1,0.7,,,,,,,,,1,,,,,,1,,,,,
100742,Matheus Henrique,CRU,MEI,1,1.5,,,,,,1,,,,,,,,,,,,,,
100842,Ruan,CAM,ZAG,1,-1.3,,1,,,,,1,,,,,,,,,,,,,
100898,Vitinho,BOT,LAT,1,7.7,,,,,,1,1,,,3,,,,,,,,,1,
100987,Nonato,FLU,MEI,1,6.4,,1,,,,,2,,,,,1,,,,,,,,
101254,Alef Manga,REM,ATA,1,0.9,,,,,,,1,,1,1,,,,,1,,,,,
101314,Ademir,BAH,ATA,1,5.2,,,,,,1,,1,,3,,,,,,,,1,,
101393,Eduardo Doma,CHA,ZAG,1,3,,,,,,2,,,,,,,,,,,,,,
101405,Wallisson,MIR,MEI,1,4.2,,,,,,3,1,,,,,,,,,,,,,
101574,Hugo Souza,COR,GOL,1,2.2,,,,4,,,,,,,,,,2,,1,,,,
101597,Ramon,VIT,LAT,1,4.7,,1,,,,,1,,,2,,,,,,,,,1,
101727,Matheuzinho,COR,LAT,1,4.8,,1,,,,4,3,,1,,,,,,1,,,,,
101908,Willian Machado,MIR,ZAG,1,0,,1,,,,,1,,1,1,,,,,,,,,,
101960,Vitinho,INT,ATA,1,1.9,,,,,,,1,,1,3,,,,,1,,,,,
102130,Piquerez,PAL,LAT,1,5.3,,,,,,2,,,1,3,,,,,,,,,,
102256,Rollheiser,SAN,MEI,1,2.5,,,,,,,,1,1,1,,,,,,,,,,
102667,Nathan Fogaça,?,?,1,-0.9,,1,,,,,2,,1,,,,,,1,,,,,
102796,Julimar,?,?,1,0.8,,,,,,,,,1,,,,,,,,,,,
102911,Zé Ricardo,REM,MEI,1,0.1,,1,,,,1,3,,,1,,,,,,,,,,
102928,Canobbio,FLU,ATA,1,5.7,,,,,,2,1,1,1,2,,,,,,,,,,
103056,Gabriel Brazão,SAN,GOL,1,-6,,1,,,,,,,,,,,,4,,1,,,,
103445,Kaio Jorge,CRU,ATA,1,2.2,,,,,,,,,3,,,,,,2,,,,,
103767,Gabriel Menino,SAN,MEI,1,16.7,,1,,,,2,,2,3,4,,1,,,1,,,,,
103912,Hernán Crespo,?,?,1,8.32,,,,,,,,,,,,,,,,,,,,1
103987,Higor Meritão,?,?,1,13.4,,,,,,4,2,,,,,1,,,,,,,,
104027,Rafael Guanaes,MIR,TEC,1,4.470000000000001,,,,,,,,,,,,,,,,,,,,1
104075,Sabino,SAO,ZAG,1,5.2,,,,,,3,1,,,2,,,,,,,,,,
104084,Carlos Miguel,PAL,GOL,1,-0.7,,,,1,,,,,,,,,,2,,,,,,
104134,Fabri,VIT,ATA,1,5.4,,,,,,1,1,1,,,1,,,,,,,,,
104257,João Lucas,REM,LAT,1,2.2,,,,,,,1,1,1,1,,,,,,,,,,
104330,Dudu,VIT,MEI,1,-0.3,,,,,,,1,,,,,,,,,,,,,
104470,Everton,CHA,LAT,1,2.7,,,,,,2,1,,,,,,,,,,,,,
104502,Christian,?,?,1,1.2,,,,,,1,1,,,,,,,,,,,,,
104519,Camilo,CHA,MEI,1,4.4,,1,,,,4,2,,,,,,,,,,,,,
