atleta_id,name,pos,team,price,media,status,desvio,ult5
99789,Brenner,ATA,VAS,6.94,2.9,Dúvida,2.75,2.4200000000000004
147088,Cissé,MEI,CAM,2.29,1.71,Provável,3.12,2.88
146623,Luis Pacheco,MEI,PAL,1.98,0.0,Nulo,0.0,1.3
87552,Vitor Bueno,MEI,REM,7.61,3.56,Nulo,5.02,1.72
68952,Marinho,ATA,VIT,5.27,2.06,Nulo,1.05,2.625
110598,Marino Hinestroza,ATA,VAS,5.63,1.83,Nulo,2.39,2.7399999999999998
140496,Tiaguinho,MEI,GRE,0.93,0.0,Nulo,0.0,0.0
145404,Arthur,LAT,PAL,4.22,4.16,Nulo,3.32,4.26
104134,Fabri,ATA,VIT,4.67,2.33,Nulo,2.67,3.7800000000000002
101729,Fabinho,ATA,CFC,1.43,-0.03,Nulo,0.49,0.85
130608,Riquelme Fillipi,ATA,PAL,1.46,1.37,Nulo,0.0,4.7
147202,João Bezerra,ATA,INT,1.19,0.6,Nulo,0.0,1.2
130906,Riquelme,MEI,CAP,1.53,1.06,Nulo,0.0,2.9
124270,Allex,MEI,INT,2.38,1.55,Nulo,1.35,1.2799999999999998
141615,Pedro Ferreira,MEI,SAO,1.51,1.2,Nulo,0.99,1.2
145036,Fernando Pradella,ATA,SAN,0.82,0.0,Nulo,0.0,0.0
94930,Lucas Paquetá,MEI,FLA,13.54,6.05,Nulo,4.07,6.94
129666,JP,MEI,VAS,1.41,0.95,Nulo,0.07,0.95
118844,Kaio César,ATA,COR,10.19,6.38,Nulo,5.1,8.639999999999999
90608,Chico da Costa,ATA,CRU,3.81,1.24,Nulo,3.25,2.25
141406,Andrey Fernandes,ATA,VAS,1.41,1.7,Nulo,0.0,1.7
147883,João Vitor,ATA,VAS,3.49,3.13,Nulo,6.01,6.25
142086,Kauan Toledo,ATA,BOT,2.87,2.18,Nulo,1.4,1.375
123738,Herrera,ATA,RBB,5.69,2.59,Provável,2.95,2.68
112939,Catarozzi,MEI,REM,5.41,0.9,Nulo,0.0,0.9
101715,Alerrandro,ATA,INT,6.33,3.61,Nulo,5.03,4.88
97101,Gabriel Rojas,LAT,CRU,6.83,3.85,Provável,3.09,4.966666666666668
108131,Garcez,ATA,CHA,3.12,1.22,Contundido,1.16,1.08
141536,Yuri Alves,MEI,RBB,1.48,1.5,Nulo,0.0,1.5
130307,Wallace,ZAG,GRE,6.08,8.7,Provável,0.0,8.7
106907,Rafael Lacerda,TEC,CHA,7.72,3.34,Provável,0.09,3.4599999999999995
151120,Jorge Rivaldo,ATA,CAP,4.42,-0.3,Nulo,0.0,-0.3
37715,Thiago Silva,ZAG,FLU,7.07,2.5,Nulo,0.0,5.8
98617,Maripán,ZAG,INT,4.74,1.92,Provável,1.2,1.5499999999999998
107203,Max,MEI,CHA,4.39,1.85,Contundido,0.0,3.2
114208,Alejo Véliz,ATA,BAH,4.01,0.67,Provável,0.21,1.15
109573,Martinelli,MEI,FLU,5.27,1.76,Provável,2.07,2.8
102310,Matheus Felipe,ZAG,REM,4.14,2.7,Nulo,0.0,4.9
103626,Ocampo,ATA,CFC,4.51,1.1,Dúvida,2.05,1.6500000000000001
108946,Victor Sá,ATA,SAO,4.32,0.3,Nulo,0.0,1.5
105901,Edson Fernando,MEI,REM,2.62,-0.3,Nulo,0.0,-0.3
141763,Fabiano Souza,LAT,VIT,3.85,0.23,Provável,0.0,1.2
106199,Gabriel Pec,ATA,CRU,7.94,4.1,Contundido,0.0,4.1
123445,Dantas,MEI,CAP,5.1,1.5,Nulo,0.0,1.5
99267,Pochettino,MEI,VIT,5.21,1.23,Nulo,0.57,1.6
101995,Brítez,ZAG,VIT,5.26,2.1,Nulo,0.0,1.2
117061,Gabriel Knesowitsch,ZAG,MIR,2.25,-0.03,Provável,0.0,1.5
128177,Pedro Emanuel,TEC,VAS,11.37,5.8,Provável,0.0,4.31
101254,Alef Manga,ATA,REM,8.35,4.8,Nulo,4.35,4.779999999999999
99034,Elias,LAT,MIR,3.41,1.8,Nulo,0.0,1.8
91130,Fernandinho,ATA,MIR,4.94,4.15,Provável,0.0,3.5
103967,Bruno Santos,ATA,MIR,3.32,0.6,Provável,0.0,0.7
91204,Warleson,GOL,BOT,6.32,7.45,Provável,0.0,11.0
122121,Túlio Eduardo,ATA,CHA,6.35,9.4,Provável,0.0,9.4
101352,Bruno Matias,MEI,CHA,3.21,1.23,Nulo,0.0,1.0
151404,Lucas Emanuel,ATA,BOT,1.45,1.4,Nulo,0.0,1.4
122321,Lorran,MEI,FLA,8.0,5.93,Nulo,7.57,9.25
132553,Jemmes,ZAG,FLU,6.82,3.62,Provável,3.03,3.38
91626,Paulinho,LAT,BOT,4.4,-0.3,Nulo,0.0,-0.3
