atleta_id,nome,clube_abrev,pos,jogos,media_geral,desvio,melhor,pior,media_ult5,jogos_ult5
88136,Ivan,REM,GOL,1,10.2,0.0,10.2,10.2,10.2,1.0
147192,Claudinho,CAP,LAT,3,9.27,8.26,16.9,0.5,9.27,3.0
121823,Kauê,COR,GOL,2,9.2,6.22,13.6,4.8,9.2,2.0
107231,Danilo,BOT,MEI,12,9.08,6.37,19.9,0.6,9.66,5.0
68872,Marcelo Lomba,PAL,GOL,1,8.9,0.0,8.9,8.9,8.9,1.0
94583,Pedro,FLA,ATA,16,8.81,7.3,20.6,0.0,8.7,5.0
143193,Viveros,CAP,ATA,15,8.41,6.38,21.1,-0.2,12.02,5.0
63007,Neymar,SAN,MEI,8,8.41,5.0,19.2,3.7,7.0,5.0
68899,Philippe Coutinho,VAS,MEI,3,8.23,4.97,11.4,2.5,8.23,3.0
130209,Renê,VIT,ATA,10,8.04,5.86,18.1,1.7,11.48,5.0
102928,Canobbio,FLU,ATA,11,7.94,5.76,16.2,1.0,7.46,5.0
110426,Bernabei,INT,LAT,12,7.92,6.05,17.2,-0.1,8.72,5.0
63354,Rodrigo Moledo,CFC,ZAG,2,7.75,0.35,8.0,7.5,7.75,2.0
105531,Matheus Bidu,COR,LAT,14,7.73,6.13,19.0,-0.8,4.98,5.0
107093,Luciano Juba,BAH,LAT,15,7.73,5.97,18.0,-2.1,8.08,5.0
125488,João Pedro,COR,ZAG,2,7.7,1.7,8.9,6.5,7.7,2.0
114802,Vitor Roque,PAL,ATA,7,7.6,7.44,21.2,0.9,8.24,5.0
94968,Juninho Capixaba,RBB,LAT,16,7.52,4.82,16.2,0.1,6.8,5.0
116065,Cuiabano,VAS,LAT,11,7.48,4.91,13.7,0.5,5.48,5.0
109096,Plata,FLA,ATA,9,7.4,4.72,14.4,1.2,6.8,5.0
116706,Andrés Gómez,VAS,ATA,16,7.3,4.74,16.9,0.5,4.4,5.0
95131,Gabriel Taliari,REM,ATA,6,7.3,6.64,19.3,0.9,8.58,5.0
110759,John Kennedy,FLU,ATA,17,7.29,5.18,18.0,0.0,8.5,5.0
88963,Leonardo Jardim,FLA,TEC,14,7.11,3.25,11.48,1.57,5.94,5.0
98873,Samuel Lino,FLA,ATA,16,7.08,7.05,26.0,-0.3,8.32,5.0
123648,Lucas Ronier,CFC,ATA,15,7.03,4.88,17.5,1.4,4.22,5.0
103912,Hernán Crespo,SAO,TEC,4,6.98,1.49,8.47,4.97,6.98,4.0
113103,Flaco López,PAL,ATA,17,6.75,4.07,16.1,-0.6,7.78,5.0
92171,Arthur Cabral,BOT,ATA,14,6.69,6.79,26.0,0.5,9.34,5.0
112886,Lucas Barbosa,RBB,ATA,16,6.67,4.92,15.2,-0.2,8.06,5.0
91706,Marlon,GRE,LAT,6,6.62,6.25,17.9,0.9,7.02,5.0
140492,João Victor,FLA,ZAG,1,6.5,0.0,6.5,6.5,6.5,1.0
110506,Abel Ferreira,PAL,TEC,18,6.5,2.01,10.45,3.13,5.92,5.0
99815,Arias,PAL,MEI,13,6.49,4.75,17.3,0.4,5.04,5.0
94930,Lucas Paquetá,FLA,MEI,11,6.46,4.45,15.7,-0.2,6.94,5.0
102975,Escobar,SAN,LAT,12,6.43,3.92,18.4,3.5,4.94,5.0
102130,Piquerez,PAL,LAT,6,6.43,3.44,12.8,2.4,6.66,5.0
87863,Arrascaeta,FLA,MEI,9,6.41,4.35,13.0,0.8,6.24,5.0
127273,Artur Jorge,CRU,TEC,10,6.33,2.07,9.78,3.25,5.45,5.0
147850,Rodrigo Bellão,BOT,TEC,1,6.24,0.0,6.24,6.24,6.24,1.0
105213,Sant Anna,RBB,LAT,7,6.23,4.66,15.8,0.5,4.32,5.0
141451,Allan,PAL,MEI,17,6.21,5.53,18.1,-2.1,6.68,5.0
95799,Artur,SAO,ATA,10,6.2,4.0,16.2,2.0,6.7,5.0
95466,Igor Vinícius,SAN,LAT,12,6.19,4.47,14.2,0.2,5.0,5.0
93988,Breno Lopes,CFC,ATA,15,6.18,6.46,21.0,-0.1,9.26,5.0
104502,Christian,CRU,MEI,17,6.09,4.35,14.9,0.9,4.98,5.0
96610,Matheus Pereira,CRU,MEI,16,6.07,4.55,15.8,-1.1,6.44,5.0
123689,Milans,COR,LAT,3,6.03,1.06,7.0,4.9,6.03,3.0
104118,Lucas Arcanjo,VIT,GOL,13,5.99,4.15,12.8,-1.0,4.7,5.0
98909,Cuello,CAM,ATA,17,5.99,4.55,19.4,1.1,5.48,5.0
131967,Villarreal,CRU,ATA,11,5.95,5.26,15.6,-0.3,4.72,5.0
72018,Tiago Volpi,RBB,GOL,11,5.94,5.17,15.6,-0.7,7.52,5.0
124661,Iván Román,CAM,ZAG,6,5.92,5.79,15.8,0.2,5.38,5.0
78445,Renê,FLU,LAT,11,5.89,4.18,12.9,-1.1,4.32,5.0
89840,Calleri,SAO,ATA,16,5.88,4.43,12.3,0.4,2.58,5.0
82775,Lucas Ramon,SAO,LAT,12,5.88,4.96,14.7,-2.8,5.36,5.0
72391,Fernando Diniz,COR,TEC,8,5.84,1.97,8.06,3.16,5.96,5.0
89837,Lucho Acosta,FLU,MEI,14,5.76,4.55,13.8,0.0,2.42,5.0
105563,Carlos Vinícius,GRE,ATA,17,5.62,7.38,24.1,-1.1,4.66,5.0
42411,Cuca,SAN,TEC,11,5.62,2.28,8.93,2.73,5.58,5.0
39850,Vagner Mancini,RBB,TEC,18,5.57,2.72,11.12,1.74,6.17,5.0
98517,Jean Lucas,BAH,MEI,15,5.57,3.43,12.2,1.6,5.82,5.0
112709,Kaiki Bruno,CRU,LAT,16,5.56,3.32,12.0,-0.9,5.88,5.0
99366,Luis Zubeldía,FLU,TEC,18,5.56,1.94,9.15,3.05,4.2,5.0
113690,Diógenes,SAN,GOL,2,5.55,6.58,10.2,0.9,5.55,2.0
146374,Gilberto,CAP,LAT,5,5.54,3.82,11.4,1.4,5.54,5.0
71043,Léo Vieira,CHA,GOL,7,5.53,4.91,13.0,-0.4,3.38,5.0
97341,Rogério Ceni,BAH,TEC,17,5.52,1.94,9.96,3.55,5.04,5.0
107172,Patrick de Paula,REM,MEI,6,5.48,4.41,14.0,1.8,6.22,5.0
92273,Odair Hellmann,CAP,TEC,16,5.47,2.42,9.85,2.11,5.95,5.0
92180,Jair Ventura,VIT,TEC,16,5.46,2.54,9.46,1.48,5.87,5.0
97795,Marcelinho,REM,LAT,15,5.45,5.02,16.7,-0.3,7.28,5.0
80287,Luciano,SAO,ATA,14,5.44,4.86,15.3,-0.9,7.44,5.0
118844,Kaio César,COR,ATA,6,5.43,3.97,10.6,1.0,4.66,5.0
101597,Ramon,VIT,LAT,13,5.41,3.41,14.2,2.0,5.72,5.0
92747,Eduardo Domínguez,CAM,TEC,14,5.38,3.38,12.76,1.68,5.63,5.0
99440,Baralhas,VIT,MEI,13,5.36,4.08,12.5,-0.7,3.26,5.0
99213,Puma Rodríguez,VAS,LAT,12,5.35,4.6,13.0,-1.0,6.22,5.0
105048,Jajá,REM,ATA,14,5.3,3.39,12.8,0.5,7.14,5.0
117632,Garro,COR,MEI,17,5.28,4.55,15.6,0.0,7.98,5.0
89274,Andreas Pereira,PAL,MEI,17,5.28,5.34,16.5,0.0,3.26,5.0
51772,Everton Ribeiro,BAH,MEI,13,5.25,4.08,14.3,1.2,6.3,5.0
