date,season,home_team,away_team,home_goals,away_goals,avg_odds_home,avg_odds_draw,avg_odds_away
2012-05-19,2012,Palmeiras,Portuguesa,1,1,1.69,3.5,4.9
2012-05-19,2012,Sport,Flamengo,1,1,2.59,3.23,2.58
2012-05-20,2012,Figueirense,Nautico,2,1,1.59,3.67,5.64
2012-05-20,2012,Botafogo,Sao Paulo,4,2,2.35,3.26,2.84
2012-05-20,2012,Corinthians,Fluminense,0,1,1.89,3.33,3.89
2012-05-20,2012,Internacional,Coritiba,2,0,1.66,3.55,5.1
2012-05-20,2012,Ponte Preta,Atletico-MG,0,1,2.74,3.23,2.45
2012-05-20,2012,Bahia,Santos,0,0,2.3,3.22,2.97
2012-05-20,2012,Cruzeiro,Atletico-GO,0,0,1.78,3.47,4.3
2012-05-20,2012,Vasco,Gremio,2,1,2.08,3.25,3.41
2012-05-26,2012,Flamengo,Internacional,3,3,1.99,3.23,3.74
2012-05-26,2012,Portuguesa,Vasco,0,1,2.62,3.22,2.54
2012-05-26,2012,Atletico-GO,Ponte Preta,1,1,1.66,3.59,5.04
2012-05-27,2012,Nautico,Cruzeiro,0,0,2.67,3.18,2.55
2012-05-27,2012,Atletico-MG,Corinthians,1,0,2.08,3.28,3.43
2012-05-27,2012,Coritiba,Botafogo,2,3,1.77,3.6,4.15
2012-05-27,2012,Santos,Sport,0,0,1.41,4.17,7.46
2012-05-27,2012,Sao Paulo,Bahia,1,0,1.44,4.12,6.93
2012-05-27,2012,Fluminense,Figueirense,2,2,1.65,3.61,5.08
2012-05-27,2012,Gremio,Palmeiras,1,0,1.97,3.33,3.66
2012-06-06,2012,Atletico-GO,Gremio,0,1,2.28,3.26,2.96
2012-06-06,2012,Sport,Palmeiras,2,1,2.46,3.17,2.77
2012-06-07,2012,Ponte Preta,Flamengo,2,2,2.55,3.21,2.67
2012-06-07,2012,Santos,Fluminense,1,1,2.02,3.23,3.63
2012-06-07,2012,Internacional,Sao Paulo,1,0,1.86,3.41,4.03
2012-06-07,2012,Atletico-MG,Bahia,1,1,1.43,4.13,7.23
2012-06-07,2012,Coritiba,Portuguesa,2,0,1.59,3.72,5.37
2012-06-07,2012,Vasco,Nautico,4,2,1.37,4.4,8.19
2012-06-08,2012,Botafogo,Cruzeiro,2,3,2.02,3.32,3.58
2012-06-08,2012,Corinthians,Figueirense,1,1,1.56,3.77,5.68
2012-06-09,2012,Flamengo,Coritiba,3,1,1.93,3.34,3.83
2012-06-10,2012,Sao Paulo,Santos,1,0,1.83,3.42,4.11
2012-06-10,2012,Nautico,Botafogo,3,2,2.35,3.36,2.8
2012-06-10,2012,Figueirense,Ponte Preta,0,0,1.74,3.51,4.52
2012-06-10,2012,Cruzeiro,Sport,1,0,1.55,3.83,5.76
2012-06-10,2012,Gremio,Corinthians,2,0,1.53,3.84,6.06
2012-06-10,2012,Bahia,Vasco,1,2,2.93,3.24,2.31
2012-06-10,2012,Portuguesa,Atletico-GO,2,0,2.08,3.26,3.4
2012-06-10,2012,Palmeiras,Atletico-MG,0,1,2.05,3.37,3.39
