rodada,meus_pontos,time_medio_12,diferenca,bateu_mercado
1,63.659912109375,43.41,20.25,True
2,39.800048828125,41.59,-1.79,False
3,71.4599609375,46.55,24.91,True
4,55.580078125,37.09,18.49,True
5,64.64013671875,43.47,21.17,True
6,74.41015625,38.97,35.44,True
7,51.550048828125,40.33,11.22,True
8,77.02001953125,40.97,36.05,True
9,87.740234375,44.13,43.61,True
10,69.89013671875,40.26,29.63,True
11,80.9599609375,41.04,39.92,True
12,89.5,42.57,46.93,True
13,109.490234375,43.67,65.82,True
14,57.3798828125,39.81,17.57,True
15,63.5400390625,40.21,23.33,True
16,73.58984375,40.19,33.4,True
17,78.6201171875,43.51,35.11,True
18,101.2998046875,44.98,56.32,True
19,85.3798828125,46.59,38.79,True
20,128.5302734375,40.25,88.28,True
