atleta_id,name_cartola,team,xg90,match_tipo
105563,Carlos Vinícius,GRE,0.71,exato
107231,Danilo,BOT,0.68,contains
89840,Calleri,SAO,0.51,contains
143193,Viveros,CAP,0.52,contains
99034,Elias,MIR,0.46,contains
102928,Canobbio,FLU,0.47,contains
110759,John Kennedy,FLU,0.52,exato
114802,Vitor Roque,PAL,0.98,exato
116706,Andrés Gómez,VAS,0.38,exato
90302,Pedro Rocha,CFC,0.39,contains
90031,Mendoza,CAP,0.42,contains
93988,Breno Lopes,CFC,0.43,exato
63007,Neymar,SAN,0.83,exato
122485,Barros,VAS,0.52,contains
51413,Walter,MIR,0.37,contains
117404,Otávio,CRU,0.75,contains
107989,Carbonero,INT,0.39,contains
