team,jogadores,jogadores_com_valor,valor_total,valor_pdf_referencia,diff_pct
Palmeiras,27,27,235.97,240.48,-1.9
Flamengo,25,25,180.15,217.95,-17.3
Cruzeiro,28,28,143.4,151.75,-5.5
Corinthians,27,26,139.4,150.3,-7.3
Botafogo,29,28,112.2,123.45,-9.1
Bahia,28,25,110.9,118.8,-6.6
Fluminense,29,29,103.02,113.53,-9.3
Santos,29,28,93.9,102.2,-8.1
Bragantino,32,30,89.45,99.05,-9.7
Vasco,24,23,86.45,104.25,-17.1
Gremio,26,24,72.95,100.55,-27.4
Sao Paulo,35,28,71.5,77.0,-7.1
Internacional,25,23,58.9,72.4,-18.6
Athletico-PR,26,25,58.480000000000004,74.88,-21.9
Atletico-MG,23,20,54.15,87.15,-37.9
Coritiba,25,25,35.28,43.23,-18.4
Vitoria,26,25,32.27,46.23,-30.2
Mirassol,22,21,19.12,33.93,-43.6
Chapecoense,21,19,13.02,16.98,-23.3
Remo,15,12,6.22,21.73,-71.4
