name,team,apps,xG,xg90,goal,shots
Pedro,Flamengo,19,9.52,0.561,12,40
Cuiabano,Vasco da Gama,13,1.78,0.172,1,21
Igor Formiga,Mirassol,16,2.34,0.163,4,18
José Manuel López,Palmeiras,17,3.65,0.25,6,35
Juninho Capixaba,Red Bull Bragantino,17,1.05,0.062,3,23
Henry Mosquera,Red Bull Bragantino,16,2.48,0.199,0,34
Neymar,Santos FC,9,4.31,0.5,6,30
Lucas Esquivel,Athletico Paranaense,16,0.4,0.027,1,13
Luciano Juba,Bahia,17,3.23,0.217,7,21
Cristian Pavón,Gremio,18,0.4,0.026,0,10
Danilo Santos,Botafogo RJ,14,2.28,0.177,7,28
Matheus Pereira,Cruzeiro,17,3.73,0.225,4,43
Lucas Barbosa,Red Bull Bragantino,18,4.92,0.278,4,48
Negueba,Mirassol,9,0.94,0.108,2,19
David Duarte,Bahia,14,1.44,0.103,3,14
Lucho Acosta,Fluminense,16,2.72,0.227,3,24
Gonzalo Plata,Flamengo,11,2.78,0.421,2,22
José Rodríguez,Vasco da Gama,14,2.56,0.221,2,27
Allan,Palmeiras,17,2.36,0.173,4,27
Jhon Arias,Palmeiras,15,2.42,0.184,3,31
Willian Machado,Mirassol,15,0.65,0.044,1,9
Andrés Gómez,Vasco da Gama,18,3.67,0.229,4,66
Léo Pereira,Flamengo,16,1.56,0.1,2,17
Samuel Lino,Flamengo,19,2.31,0.175,4,31
Jonathan Jesus,Cruzeiro,12,0.56,0.052,0,8
Arthur Cabral,Botafogo RJ,17,4.36,0.284,7,36
John Kennedy,Fluminense,18,7.0,0.558,9,38
Sabino,Sao Paulo,16,0.35,0.025,1,7
Lucas Paquetá,Flamengo,12,2.13,0.234,3,26
Emerson Royal,Flamengo,10,0.34,0.045,0,3
Alexander Barboza,Botafogo RJ,12,0.76,0.065,1,12
Kevin Viveros,Athletico Paranaense,19,13.86,0.733,12,54
Gustavo Gómez,Palmeiras,18,2.31,0.129,3,15
Giorgian de Arrascaeta,Flamengo,12,5.09,0.572,3,28
Andreas Pereira,Palmeiras,19,1.55,0.092,1,21
Alexandro Bernabéi,Internacional,17,2.51,0.154,4,40
Jefferson Savarino,Fluminense,16,3.41,0.283,3,38
Kaiki,Cruzeiro,16,1.04,0.066,0,18
Rodrigo Garro,Corinthians,19,1.73,0.118,2,30
Juan Aguirre,Athletico Paranaense,16,0.8,0.054,1,9
Nicolás Acevedo,Bahia,18,1.64,0.094,0,23
Renê,Fluminense,13,0.54,0.049,0,8
Artur,Sao Paulo,12,2.1,0.182,2,24
Victor Hugo,Atletico MG,17,2.41,0.16,4,20
Guillermo Varela,Flamengo,14,0.4,0.034,0,4
Thiago Mendes,Vasco da Gama,17,1.81,0.114,4,14
Lucas Ronier,Coritiba,17,1.99,0.136,1,33
Tiago Volpi,Red Bull Bragantino,13,1.55,0.119,2,2
Gustavo Henrique,Corinthians,17,1.1,0.065,0,14
Gabriel Paulista,Corinthians,16,0.5,0.031,1,15
Agustín Canobbio,Fluminense,13,3.17,0.288,4,21
Tomás Cuello,Atletico MG,18,4.16,0.287,2,40
Matheus Bidu,Corinthians,16,0.57,0.038,2,14
Éverton Ribeiro,Bahia,16,1.66,0.148,0,16
Murilo,Palmeiras,17,1.94,0.117,1,11
Gustavo Martins,Gremio,13,1.48,0.124,0,9
Léo Ortiz,Flamengo,17,0.18,0.012,1,4
Marlon Freitas,Palmeiras,19,0.61,0.033,2,12
Christian,Cruzeiro,17,2.27,0.162,5,21
Renê,Vitoria,13,4.07,0.415,5,31
Tinga,Coritiba,13,0.14,0.012,0,5
Luan Cândido,Vitoria,13,1.07,0.092,0,9
Breno Lopes,Coritiba,17,5.1,0.402,8,18
Matheuzinho,Corinthians,16,0.32,0.022,1,10
Nahuel Ferraresi,Botafogo RJ,14,0.73,0.06,1,4
Jonathan Calleri,Sao Paulo,18,8.58,0.512,7,41
Gonzalo Escobar,Santos FC,14,0.49,0.036,0,9
Gustavo Marques,Red Bull Bragantino,18,1.8,0.11,0,12
Luciano,Sao Paulo,16,5.18,0.401,6,31
Zé Vitor,Vitoria,12,0.4,0.047,1,12
Alix,Red Bull Bragantino,17,0.36,0.024,0,8
Gabriel Baralhas,Vitoria,17,1.52,0.093,2,21
Ramon,Vitoria,17,0.57,0.035,2,9
Reinaldo,Mirassol,16,0.62,0.042,0,20
Duplexe Tchamba,Remo,14,0.22,0.015,0,4
Robert Renan,Vasco da Gama,20,0.73,0.036,1,6
Jacy,Coritiba,17,0.34,0.024,1,10
Ruan Tressoldi,Atletico MG,17,1.41,0.084,2,8
Josué,Coritiba,19,1.39,0.086,1,16
Jorginho,Flamengo,13,1.71,0.147,2,6
Bruno Gomes,Internacional,20,0.6,0.033,0,15
Vitinho,Botafogo RJ,18,0.23,0.015,0,5
Gastón Benavídez,Athletico Paranaense,16,0.76,0.05,0,7
Johan Carbonero,Internacional,19,4.46,0.306,5,42
Nathan Mendes,Vitoria,13,0.14,0.012,0,2
Lucas Ramon,Sao Paulo,14,0.25,0.02,0,7
Martinelli,Fluminense,14,0.39,0.031,0,11
Álvaro Barreal,Santos FC,17,2.1,0.17,4,30
Erick Pulgar,Flamengo,10,0.29,0.032,1,7
Renan Lodi,Atletico MG,19,1.22,0.065,0,29
Matheus Martins,Botafogo RJ,18,3.35,0.29,4,33
Jemmes,Fluminense,15,0.18,0.014,0,3
