rodada,name,team,apps,mins,xG,xg90,goal,shots
26,Pedro,Flamengo,26,2100,14.281,0.612,15,59.0
26,José Manuel López,Palmeiras,23,1750,4.498,0.2313,8,46.0
26,Neymar,Santos FC,12,1046,4.858,0.418,6,44.0
26,Cuiabano,Vasco da Gama,15,1080,1.859,0.1549,1,23.0
26,Igor Formiga,Mirassol,23,1818,3.112,0.1541,4,23.0
26,Matheus Pereira,Cruzeiro,23,1892,6.435,0.3061,7,59.0
26,Cristian Pavón,Gremio,23,1743,0.589,0.0304,2,16.0
26,Samuel Lino,Flamengo,26,1702,5.543,0.2931,9,53.0
26,Román Gómez,Bahia,12,1042,1.006,0.0869,1,13.0
26,David Duarte,Bahia,19,1707,1.936,0.1021,3,18.0
26,Luciano Juba,Bahia,23,1790,4.111,0.2067,8,25.0
26,Allan,Palmeiras,21,1553,2.765,0.1602,4,36.0
26,Lucas Esquivel,Athletico Paranaense,17,1346,0.397,0.0265,1,13.0
26,Lucas Barbosa,Red Bull Bragantino,23,1993,5.647,0.255,5,60.0
26,Agustín Sant'Anna,Red Bull Bragantino,11,723,0.291,0.0362,0,8.0
26,Léo Pereira,Flamengo,22,1897,1.691,0.0802,2,21.0
26,Danilo Santos,Botafogo RJ,18,1494,2.576,0.1552,7,34.0
26,Juninho Capixaba,Red Bull Bragantino,22,1969,1.222,0.0559,3,29.0
26,Henry Mosquera,Red Bull Bragantino,20,1235,2.81,0.2047,0,37.0
26,Gonzalo Plata,Flamengo,14,700,3.275,0.421,2,25.0
26,Gustavo Gómez,Palmeiras,23,2016,2.95,0.1317,4,19.0
26,Lucas Paquetá,Flamengo,18,1198,3.166,0.2378,4,37.0
26,Jhon Arias,Palmeiras,20,1470,3.177,0.1945,4,38.0
26,Sabino,Sao Paulo,19,1531,0.36,0.0212,1,8.0
26,Nicolás Acevedo,Bahia,24,2100,1.734,0.0743,1,25.0
26,John Kennedy,Fluminense,18,1129,6.997,0.5578,9,38.0
26,Jorge Carrascal,Flamengo,20,1099,5.117,0.419,5,32.0
26,Willian Machado,Mirassol,21,1845,0.687,0.0335,1,10.0
26,Kevin Viveros,Athletico Paranaense,25,2219,18.666,0.7571,17,73.0
26,Andreas Pereira,Palmeiras,25,2033,2.184,0.0967,1,33.0
26,Alexander Barboza,Botafogo RJ,12,1044,0.756,0.0651,1,12.0
26,Jonathan Jesus,Cruzeiro,16,1339,0.688,0.0462,0,10.0
26,Joaquín Piquerez,Palmeiras,12,946,0.25,0.0238,0,7.0
26,Arthur Cabral,Botafogo RJ,21,1710,5.792,0.3048,7,51.0
26,Lucho Acosta,Fluminense,21,1233,4.254,0.3105,4,30.0
26,Kaio César,Corinthians,14,912,2.348,0.2317,2,20.0
26,Agustín Canobbio,Fluminense,19,1413,4.293,0.2734,5,34.0
26,Kaiki,Cruzeiro,16,1418,1.035,0.0657,0,18.0
26,Matheuzinho,Corinthians,21,1792,0.875,0.0439,1,15.0
26,José Rodríguez,Vasco da Gama,17,1100,2.928,0.2395,2,29.0
26,Alexandro Bernabéi,Internacional,22,1887,3.109,0.1483,4,53.0
26,Gustavo Martins,Gremio,17,1389,1.843,0.1194,2,13.0
26,Gustavo Marques,Red Bull Bragantino,22,1834,2.116,0.1038,1,17.0
26,Giorgian de Arrascaeta,Flamengo,19,1230,6.002,0.4392,3,40.0
26,Matheus Bidu,Corinthians,20,1734,1.142,0.0593,3,22.0
26,Jacy,Coritiba,23,1714,0.821,0.0431,1,14.0
26,Renê,Fluminense,19,1538,0.708,0.0414,0,12.0
26,Gonzalo Escobar,Santos FC,19,1678,0.494,0.0265,0,9.0
26,Lucas Ronier,Coritiba,18,1412,2.135,0.1361,1,37.0
26,Nahuel Ferraresi,Botafogo RJ,19,1549,1.613,0.0937,1,9.0
26,Guillermo Varela,Flamengo,19,1519,0.832,0.0493,0,6.0
26,Emerson Royal,Flamengo,13,881,0.337,0.0344,0,3.0
26,Tinga,Coritiba,16,1230,0.189,0.0138,0,7.0
26,Zé Vitor,Vitoria,17,1186,0.674,0.0512,1,24.0
26,Artur,Sao Paulo,16,1319,2.951,0.2014,2,39.0
26,Tomás Cuello,Atletico MG,21,1505,4.798,0.2869,4,44.0
26,Léo Ortiz,Flamengo,22,1803,0.981,0.049,1,9.0
26,Juan Aguirre,Athletico Paranaense,22,1779,0.9,0.0455,1,11.0
26,Murilo,Palmeiras,22,1892,2.063,0.0981,1,14.0
26,Andrés Gómez,Vasco da Gama,22,1781,3.935,0.1989,4,73.0
26,Raniele,Corinthians,21,1638,1.802,0.099,2,19.0
26,Jefferson Savarino,Fluminense,19,1124,3.413,0.2733,3,39.0
26,Ignácio,Fluminense,14,1040,1.425,0.1233,3,14.0
26,Rodrigo Garro,Corinthians,24,1687,3.068,0.1637,3,39.0
26,Gustavo Henrique,Corinthians,22,1980,1.305,0.0593,1,19.0
26,Éverton Ribeiro,Bahia,17,1034,1.701,0.148,0,17.0
26,Robert Arboleda,Sao Paulo,12,857,0.424,0.0446,0,6.0
26,Christian,Cruzeiro,17,1258,2.271,0.1625,5,21.0
26,Tiago Volpi,Red Bull Bragantino,18,1620,1.546,0.0859,2,2.0
26,Luciano,Sao Paulo,21,1576,8.206,0.4686,8,50.0
26,Martinelli,Fluminense,19,1551,0.592,0.0343,0,17.0
26,Erick Pulgar,Flamengo,17,1228,0.375,0.0275,2,10.0
26,Rodrigo Nestor,Bahia,19,1135,2.171,0.1722,1,36.0
26,Reinaldo,Mirassol,23,1961,1.832,0.0841,1,31.0
26,Álvaro Barreal,Santos FC,21,1411,2.903,0.1852,5,44.0
26,Thiago Mendes,Vasco da Gama,22,1841,2.521,0.1233,4,20.0
26,Vitinho,Botafogo RJ,23,1830,0.472,0.0232,0,11.0
26,Marlon Freitas,Palmeiras,25,2144,1.085,0.0456,2,17.0
26,Victor Hugo,Atletico MG,20,1546,2.541,0.1479,4,22.0
26,Bruno Gomes,Internacional,25,2067,0.663,0.0289,0,18.0
26,Ruan Tressoldi,Atletico MG,20,1757,1.532,0.0785,2,11.0
26,Duplexe Tchamba,Remo,18,1616,0.768,0.0428,0,7.0
26,Renan Lodi,Atletico MG,22,1940,1.704,0.079,0,33.0
26,Ayrton Lucas,Flamengo,16,1010,0.511,0.0455,0,14.0
26,Gastón Benavídez,Athletico Paranaense,21,1809,1.3,0.0647,1,9.0
26,Ángelo Preciado,Atletico MG,11,731,0.33,0.0407,0,7.0
26,Gabriel Baralhas,Vitoria,18,1537,1.555,0.0911,2,22.0
26,Vitor Hugo,Atletico MG,12,726,0.715,0.0886,2,8.0
26,Robert Renan,Vasco da Gama,24,2160,0.878,0.0366,1,9.0
26,Pedro Rocha,Coritiba,25,1974,8.798,0.4011,8,54.0
26,Lucas Romero,Cruzeiro,18,1355,1.055,0.07,2,14.0
26,Gabriel Paulista,Corinthians,20,1764,0.926,0.0472,1,18.0
26,Alix,Red Bull Bragantino,19,1517,0.458,0.0272,0,9.0
