rodada,name,team,apps,mins,xG,xg90,goal,shots
20,Ademir,Bahia,20,782,1.673,0.1925,1,22.0
20,Adson,Vasco da Gama,10,531,0.638,0.1082,0,17.0
20,Agustín Canobbio,Fluminense,13,988,3.167,0.2885,4,21.0
20,Agustín Giay,Palmeiras,16,1066,0.234,0.0198,0,5.0
20,Alan Franco,Sao Paulo,13,1077,0.502,0.0419,0,4.0
20,Alan Franco,Atletico MG,15,1306,0.87,0.0599,0,5.0
20,Alan Minda,Atletico MG,10,370,1.873,0.4555,2,11.0
20,Alan Patrick,Internacional,15,988,2.354,0.2144,3,20.0
20,Alan Saldivia,Vasco da Gama,10,900,0.782,0.0782,0,9.0
20,Alef Manga,Remo,20,1498,4.822,0.2897,5,37.0
20,Alerrandro,Internacional,19,913,6.88,0.6782,3,28.0
20,Alesson,Mirassol,18,1226,2.703,0.1984,0,29.0
20,Alex Sandro,Flamengo,15,1181,0.073,0.0056,0,2.0
20,Alex Telles,Botafogo RJ,18,1428,1.833,0.1155,2,9.0
20,Alexander Barboza,Botafogo RJ,12,1044,0.756,0.0651,1,12.0
20,Alexandro Bernabéi,Internacional,17,1466,2.506,0.1538,4,40.0
20,Alix,Red Bull Bragantino,17,1337,0.356,0.0239,0,8.0
20,Allan,Palmeiras,17,1225,2.356,0.1731,4,27.0
20,Allan,Botafogo RJ,10,465,0.104,0.0202,0,2.0
20,Allan,Corinthians,15,647,0.562,0.0782,0,6.0
20,Andreas Pereira,Palmeiras,19,1512,1.548,0.0922,1,21.0
20,André,Corinthians,16,992,0.944,0.0857,3,15.0
20,André Carrillo,Corinthians,16,719,0.145,0.0182,0,4.0
20,André Luís,Mirassol,12,465,1.709,0.3308,1,5.0
20,André Silva,Sao Paulo,13,339,0.411,0.109,0,5.0
20,Andrés Gómez,Vasco da Gama,18,1444,3.667,0.2286,4,66.0
20,Antonio Galeano,Mirassol,11,283,0.684,0.2174,0,8.0
20,Arthur,Palmeiras,14,814,0.283,0.0313,0,8.0
20,Arthur,Gremio,10,810,0.091,0.0101,0,3.0
20,Arthur Cabral,Botafogo RJ,17,1380,4.356,0.2841,7,36.0
20,Arthur Dias,Athletico Paranaense,18,1540,0.193,0.0113,0,5.0
20,Artur,Sao Paulo,12,1038,2.095,0.1817,2,24.0
20,Ayrton Lucas,Flamengo,10,491,0.339,0.0622,0,6.0
20,Benjamín Rollheiser,Santos FC,16,575,2.575,0.4031,3,16.0
20,Bernard,Atletico MG,17,900,1.468,0.1468,1,9.0
