team,team_whoscored,xg_for,xg_against,games
Flamengo,Flamengo,50.31,28.0,26
Bahia,Bahia,42.63,38.01,26
Vasco,Vasco da Gama,42.04,31.29,26
Atletico-PR,Athletico Paranaense,41.24,33.25,26
Internacional,Internacional,41.18,36.21,26
Fluminense,Fluminense,40.8,33.0,26
Bragantino,Red Bull Bragantino,39.03,32.12,25
Cruzeiro,Cruzeiro,38.53,33.8,26
Atletico-MG,Atletico MG,37.45,34.17,25
Mirassol,Mirassol,36.24,40.57,27
Sao Paulo,Sao Paulo,35.95,31.12,25
Botafogo,Botafogo RJ,35.73,42.49,25
Santos,Santos FC,34.94,36.78,25
Palmeiras,Palmeiras,33.9,29.02,26
Remo,Remo,31.23,43.28,26
Coritiba,Coritiba,29.7,41.37,26
Chapecoense,Chapecoense AF,29.66,46.72,25
Vitoria,Vitoria,28.12,41.11,26
Gremio,Gremio,26.56,43.03,25
Corinthians,Corinthians,26.08,25.96,26
