rodada,meus_pontos,media_mercado,mediana_mercado,diferenca,bateu_mercado
1,63.659912109375,1.75,0.0,61.91,True
2,39.800048828125,1.51,0.0,38.29,True
3,71.4599609375,1.65,0.0,69.81,True
4,55.580078125,1.03,0.0,54.55,True
5,64.64013671875,1.37,0.0,63.27,True
6,74.41015625,1.51,0.0,72.9,True
7,51.550048828125,1.53,0.0,50.02,True
8,77.02001953125,1.55,0.0,75.47,True
9,87.740234375,1.71,0.0,86.03,True
10,69.89013671875,1.51,0.0,68.38,True
11,80.9599609375,1.53,0.0,79.43,True
12,89.5,1.61,0.0,87.89,True
13,109.490234375,1.62,0.0,107.87,True
14,57.3798828125,1.48,0.0,55.9,True
15,63.5400390625,1.49,0.0,62.05,True
16,73.58984375,1.48,0.0,72.11,True
17,78.6201171875,1.59,0.0,77.03,True
18,101.2998046875,1.64,0.0,99.66,True
